GameID,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,BEASTpred,block,Feedback,B_rate
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-0.0006,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.44503,1,0,0.4224
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-0.0006,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.48963,2,1,0.5712
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-0.0006,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.51135,3,1,0.568
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-0.0006,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.51613,4,1,0.5952
1,3,1,3,1,0,0,0,1,4,0.8,0,1,0,0,0,1,0,0,0.2,1.6,-3,1,-1,0,1,0.597,0.5936,-0.0006,-0.2015,-0.2032,0,0.2,0.2,-0.8,0.52383,5,1,0.6496
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.55345,1,0,0.6128
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.53069,2,1,0.616
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.52555,3,1,0.6208
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.51985,4,1,0.6384
2,3,0.25,0,1,0,0,0,1,4,0.2,0,1,0,0,0,1,0,0,0.05,0.300961894,0,1,0.5,1,1,0.1477,-0.0077,0.4997,-0.0514,-0.0567,0,0.05,0.05,-0.2,0.51916,5,1,0.616
3,-1,1,-1,1,0,0,0,1,0,0.5,-2,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,0,0.0026,0.0054,0.0026,0.5013,0.5027,0,0,0,1,0.522,1,0,0.5792
3,-1,1,-1,1,0,0,0,1,0,0.5,-2,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,0,0.0026,0.0054,0.0026,0.5013,0.5027,0,0,0,1,0.51599,2,1,0.6032
3,-1,1,-1,1,0,0,0,1,0,0.5,-2,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,0,0.0026,0.0054,0.0026,0.5013,0.5027,0,0,0,1,0.51103,3,1,0.5984
3,-1,1,-1,1,0,0,0,1,0,0.5,-2,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,0,0.0026,0.0054,0.0026,0.5013,0.5027,0,0,0,1,0.51419,4,1,0.5776
3,-1,1,-1,1,0,0,0,1,0,0.5,-2,1,0,0,0,1,0,0,0,1,-1,1,0,0.5,0,0.0026,0.0054,0.0026,0.5013,0.5027,0,0,0,1,0.50979,5,1,0.5632
4,1,1,1,1,0,0,0,1,2,0.5,0,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,0.008,-0.019,0.008,-0.496,-0.5095,0,0,0,-1,0.44673,1,0,0.3536
4,1,1,1,1,0,0,0,1,2,0.5,0,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,0.008,-0.019,0.008,-0.496,-0.5095,0,0,0,-1,0.4624,2,1,0.5072
4,1,1,1,1,0,0,0,1,2,0.5,0,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,0.008,-0.019,0.008,-0.496,-0.5095,0,0,0,-1,0.47363,3,1,0.536
4,1,1,1,1,0,0,0,1,2,0.5,0,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,0.008,-0.019,0.008,-0.496,-0.5095,0,0,0,-1,0.47432,4,1,0.496
4,1,1,1,1,0,0,0,1,2,0.5,0,1,0,0,0,1,0,0,0,1,-1,1,0,0,1,0.008,-0.019,0.008,-0.496,-0.5095,0,0,0,-1,0.47931,5,1,0.5392
5,-3,1,-3,1,0,0,0,1,0,0.2,-4,1,0,0,0,1,0,0,-0.2,1.6,-1,3,1,0.75,0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0,-0.2,-0.2,0.8,0.50679,1,0,0.4928
5,-3,1,-3,1,0,0,0,1,0,0.2,-4,1,0,0,0,1,0,0,-0.2,1.6,-1,3,1,0.75,0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0,-0.2,-0.2,0.8,0.47564,2,1,0.464
5,-3,1,-3,1,0,0,0,1,0,0.2,-4,1,0,0,0,1,0,0,-0.2,1.6,-1,3,1,0.75,0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0,-0.2,-0.2,0.8,0.46469,3,1,0.416
5,-3,1,-3,1,0,0,0,1,0,0.2,-4,1,0,0,0,1,0,0,-0.2,1.6,-1,3,1,0.75,0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0,-0.2,-0.2,0.8,0.46117,4,1,0.3824
5,-3,1,-3,1,0,0,0,1,0,0.2,-4,1,0,0,0,1,0,0,-0.2,1.6,-1,3,1,0.75,0,-0.6044,-0.6046,0.0092,0.1978,0.1977,0,-0.2,-0.2,0.8,0.45884,5,1,0.3568
6,0,0.75,-3,1,0,0,0,1,0,0.8,-4,1,0,0,0,1,0,0,-0.05,0.300961894,-1,0,-0.5,0.75,0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0,-0.05,-0.05,0.2,0.4498,1,0,0.3824
6,0,0.75,-3,1,0,0,0,1,0,0.8,-4,1,0,0,0,1,0,0,-0.05,0.300961894,-1,0,-0.5,0.75,0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0,-0.05,-0.05,0.2,0.46673,2,1,0.4016
6,0,0.75,-3,1,0,0,0,1,0,0.8,-4,1,0,0,0,1,0,0,-0.05,0.300961894,-1,0,-0.5,0.75,0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0,-0.05,-0.05,0.2,0.47471,3,1,0.3968
6,0,0.75,-3,1,0,0,0,1,0,0.8,-4,1,0,0,0,1,0,0,-0.05,0.300961894,-1,0,-0.5,0.75,0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0,-0.05,-0.05,0.2,0.48012,4,1,0.424
6,0,0.75,-3,1,0,0,0,1,0,0.8,-4,1,0,0,0,1,0,0,-0.05,0.300961894,-1,0,-0.5,0.75,0,-0.1507,-0.017,-0.4954,0.0499,0.0375,0,-0.05,-0.05,0.2,0.47879,5,1,0.4064
7,-1,1,-1,1,0,0,0,1,0,0.95,-20,1,0,0,0,1,0,0,0,4.358898944,-19,1,-9,0.05,0,0.9042,0.9012,-0.0078,0.9521,0.9506,0,0,0,19,0.56076,1,0,0.4784
7,-1,1,-1,1,0,0,0,1,0,0.95,-20,1,0,0,0,1,0,0,0,4.358898944,-19,1,-9,0.05,0,0.9042,0.9012,-0.0078,0.9521,0.9506,0,0,0,19,0.57904,2,1,0.6288
